Stadium,Capacity,City_State,Country,Region,Tenants,Sports,Image,Location
Wrocław Municipal Stadium,45105,Wrocław,Poland,Europe,Śląsk Wrocław,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.1263106, 16.97819633051261)"
Kazan Arena,45105,Kazan,Russia,Europe,Fc Rubin Kazan,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(55.8231963, 49.1641317)"
Estadio Garcilaso,45056,Cusco,Peru,South America,Cienciano,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-13.5255188, -71.96647608840082)"
Angel Stadium Of Anaheim,45050,"Anaheim, California",United States,North America,Los Angeles Angels,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.8002599, -117.88174262759796)"
Al Janoub Stadium,45036,Al Wakrah,Qatar,Western Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(25.15970785, 51.57422710207068)"
Mangueirão,45007,Belém,Brazil,South America,"Paysandu Sport Club,Clube Do Remo",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-1.3811727, -48.44393180727559)"
Egyptian Army Stadium,45000,Suez,Egypt,Africa,Petrojet,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(29.974498, 32.537086)"
24 February 1956 Stadium,45000,Sidi Bel Abbès,Algeria,Africa,Usm Bel Abbès,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.682268, -0.43575550651239253)"
Estádio Olímpico Monumental,45000,Porto Alegre,Brazil,South America,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-30.06053275, -51.21338858128003)"
Gelora Bung Tomo Stadium,45000,Surabaya,Indonesia,Southeast Asia,Persebaya Surabaya,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-7.2231559, 112.6227832992418)"
Ashgabat Olympic Stadium,45000,Ashgabat,Turkmenistan,Central Asia,Turkmenistan National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.9043999, 58.377129859614314)"
Harapan Bangsa Stadium,45000,Banda Aceh,Indonesia,Southeast Asia,Persiraja Banda Aceh,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(5.522766900000001, 95.32385522211952)"
National Hockey Stadium,45000,Lahore,Pakistan,South Asia,Pakistan National Field Hockey Team,Hockey,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(31.5656822, 74.3141829)"
Estadio General Pablo Rojas,45000,Asunción,Paraguay,South America,Cerro Porteño,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-25.2999926, -57.637655818084326)"
Barabati Stadium,45000,Cuttack,India,South Asia,Odisha Cricket Association,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(20.48070435, 85.86852541310051)"
Qingdao Conson Stadium,45000,Qingdao,China,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.1031737, 120.4403407)"
Estádio Da Machava,45000,Maputo,Mozambique,Africa,Mozambique National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-25.9174099, 32.52637884727005)"
Morenão,45000,Campo Grande,Brazil,South America,Federal University Of Mato Grosso Do Sul,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-24.95633, -54.2365521)"
Fez Stadium,45000,Fes,Morocco,Africa,Maghreb De Fès,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.0346534, -5.0161926)"
Free State Stadium,45000,Bloemfontein,South Africa,Africa,"Free State Cheetahs,Cheetahs,Bloemfontein Celtic",Rugby Union,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-29.117235100000002, 26.20876956700543)"
Rostov Arena,45000,Rostov-On-Don,Russia,Europe,Fc Rostov,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(47.2093548, 39.73828236270582)"
Citi Field,45000,New York City,United States,North America,New York Mets,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.757277849999994, -73.84587884942417)"
Yantai Sports Park Stadium,45000,"Yantai,Shandong",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.462892, 121.4535599361259)"
Panathenaic Stadium,45000,Athens,Greece,Europe,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.96843565, 23.740398366417093)"
Stade Omar Bongo,45000,Libreville,Gabon,Africa,Fc 105 Libreville,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(0.39211485, 9.45263122072295)"
National Stadium,45000,Lagos,Nigeria,Africa,Nigeria National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(6.49714245, 3.364988038941034)"
Zibo Sports Center Stadium,45000,"Zibo,Shandong",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.819626, 117.980675)"
Weifang Sports Center Stadium,45000,"Weifang,Shandong",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.6961413, 119.0915313)"
Orlando Stadium,45000,Johannesburg,South Africa,Africa,"Orlando Pirates,Moroka Swallows",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-26.23172435, 27.92279887135794)"
Zayed Sports City Stadium,45000,Abu Dhabi,United Arab Emirates,Western Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(24.416128649999997, 54.453630022086614)"
Latakia Sports City Stadium,45000,Latakia,Syria,Western Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.5200185, 35.7781044)"
Solidarnost Samara Arena,44918,Samara,Russia,Europe,Pfc Krylia Sovetov Samara,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(53.2780085, 50.23750215346168)"
Vidarbha Cricket Association Stadium,44904,Nagpur,India,South Asia,Vidarbha Cricket Team,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(21.0135768, 79.03963196096828)"
Nizhny Novgorod Stadium,44899,Nizhny Novgorod,Russia,Europe,Pari Nn,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(56.3264816, 44.0051395)"
Estadio Atanasio Girardot,44863,Medellín,Colombia,South America,"Atlético Nacional,Independiente Medellín",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(6.2568266999999995, -75.59014673355895)"
Toyota Stadium,44692,Toyota,Japan,East Asia,Nagoya Grampus,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.0845879, 137.17087353460715)"
Alumni Stadium,44500,"Chestnut Hill, Massachusetts",United States,North America,Boston College Eagles Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(42.33509925, -71.1663077986397)"
Greenfield International Stadium,44400,Thiruvananthapuram,India,South Asia,"India National Cricket Team,Kerala Cricket Team",Cricketand Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(8.5714901, 76.88440346927736)"
Fbc Mortgage Stadium,44206,"Orlando, Florida",United States,North America,Ucf Knights Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(28.60831635, -81.19262425165596)"
Albertão,44200,Teresina,Brazil,South America,Esporte Clube Flamengo,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-5.1161379, -42.79287199311419)"
Gwangju World Cup Stadium,44118,Gwangju,South Korea,East Asia,Gwangju Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.133695, 126.87498720743578)"
Ulsan Munsu Football Stadium,44102,Ulsan,South Korea,East Asia,Ulsan Hd,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.53526295, 129.25949485092747)"
Baoan Stadium,44050,Shenzhen,China,East Asia,Shenzhen Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(22.5445741, 114.0545429)"
Gaelic Grounds,44032,Limerick,Ireland,Europe,Limerick Gaa,"Hurling,Gaelic Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(52.670203900000004, -8.654243232609822)"
Amon G Carter Stadium,44008,"Fort Worth, Texas",United States,North America,Tcu Horned Frogs Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(32.70978705, -97.36818000852281)"
Levy Mwanawasa Stadium,44000,Ndola,Zambia,Africa,Zambia National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-12.97553125, 28.61122677401119)"
Suwon World Cup Stadium,43959,Suwon,South Korea,East Asia,Suwon Samsung Bluewings,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.2864084, 127.03680502041217)"
Riau Main Stadium,43923,Pekanbaru,Indonesia,Southeast Asia,Psps Riau,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(0.5262455, 101.4515727)"
Allianz Parque,43713,São Paulo,Brazil,South America,Palmeiras,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-23.52749715, -46.67852807811731)"
Shandong Provincial Stadium,43700,"Jinan,Shandong",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.64647655, 117.00578462249345)"
Citizens Bank Park,43500,Philadelphia,United States,North America,Philadelphia Phillies,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.905885749999996, -75.16541101747245)"
Mbombela Stadium,43500,Nelspruit,South Africa,Africa,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-25.4617294, 30.92968989749547)"
Estadio Pedro Bidegain,43494,Buenos Aires,Argentina,South America,Club Atlético San Lorenzo De Almagro,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.6520812, -58.44004466438956)"
Jeonju World Cup Stadium,43348,Jeonju,South Korea,East Asia,Jeonbuk Hyundai Motors,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.867807400000004, 127.06458906981494)"
Progressive Field,43345,"Cleveland, Ohio",United States,North America,Cleveland Guardians,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.496090550000005, -81.68513191630367)"
Poznań Municipal Stadium,43269,Poznań,Poland,Europe,Lech Poznań,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(52.4006632, 16.91973259178088)"
Vasil Levski National Stadium,43230,Sofia,Bulgaria,Europe,Bulgaria National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(42.6875707, 23.335243058604338)"
Estadio Libertadores De América,43187,Avellaneda,Argentina,South America,Independiente,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.6702227, -58.37103780889193)"
Reser Stadium,43154,"Corvallis, Oregon",United States,North America,Oregon State Beavers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(44.5596691, -123.28115667088991)"
Stadio Artemio Franchi,43147,Florence,Italy,Europe,Acf Fiorentina,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(43.32168675, 11.326178967176826)"
Shaanxi Province Stadium,43000,"Xian,Shaanxi",China,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.234054150000006, 108.93658257992172)"
Saifai International Cricket Stadium,43000,Saifai,India,South Asia,Uttar Pradesh Cricket Team,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(26.966534199999998, 78.95746606699267)"
Estadio Universidad San Marcos,43000,Lima,Peru,South America,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-12.0621065, -77.0365256)"
Fitzgerald Stadium Staidiam Mhic Gearailt,43000,Killarney,Ireland,Europe,Kerry Gaa,"Gaelic Football,Hurling",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(52.0595746, -9.505322)"
Ullevi,43000,Gothenburg,Sweden,Europe,,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(57.705919699999995, 11.987327598897291)"
Arena Da Amazônia,42924,Manaus,Brazil,South America,"Nacional Futebol Clube,Atlético Rio Negro Clube",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-3.0831131999999997, -60.02800518494965)"
Sapporo Dome,42831,Sapporo,Japan,East Asia,"Consadole Sapporo,Hokkaido Nippon-Ham Fighters","Association Football, Baseball",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(43.0147798, 141.40974344269986)"
Arena Pantanal,42788,Cuiabá,Brazil,South America,"Clube Esportivo Dom Bosco,Mixto Esporte Clube",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-15.604064900000001, -56.12229888998701)"
Villa Park,42788,Birmingham,United Kingdom,Europe,Aston Villa Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(52.5091264, -1.8850354312212985)"
Zhuzhou Stadium,42740,"Zhuzhou,Hunan",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(27.7009794, 113.1380117)"
Maharashtra Cricket Association Stadium,42700,Pune,India,South Asia,Maharashtra Cricket Association,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(18.67325625, 73.7062646847694)"
Estadio Cuauhtémoc,42648,Puebla,Mexico,North America,Puebla Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(19.077983250000003, -98.16433751006463)"
Vodafone Park,42590,Istanbul,Turkey,Europe,Beşiktaş Jk,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.006381, 28.9758715)"
Red Bull Arena,42558,Leipzig,Germany,Europe,Rb Leipzig,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.34570785, 12.348236086993243)"
Estadio Metropolitano De Mérida,42500,Mérida,Venezuela,South America,Estudiantes De Mérida,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(8.55586575, -71.21799652527476)"
Perak Stadium,42500,Ipoh,Malaysia,Southeast Asia,Perak Fa,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(4.6094268, 101.10354521874646)"
Sydney Football Stadium,42500,Sydney,Australia,Oceania,"Sydney Roosters,New South Wales Waratahs,Sydney Fc","Association Football,Rugby League,Rugby Union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-33.88915715, 151.22513521999082)"
Ahmadou Ahidjo Stadium,42500,Yaoundé,Cameroon,Africa,"Canon Yaoundé,Tonnerre Yaoundé,Louves Minproff",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(3.8855293499999997, 11.540674286163075)"
Estadio Defensores Del Chaco,42354,Asunción,Paraguay,South America,Paraguay National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-25.2919551, -57.65741637968246)"
Denka Big Swan Stadium,42300,Niigata,Japan,East Asia,Albirex Niigata,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.88257595, 139.05915840743222)"
American Family Field,42200,Milwaukee,United States,North America,Milwaukee Brewers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(43.0280619, -87.97209586840818)"
Estadio Hernando Siles,42148,La Paz,Bolivia,South America,"Bolivia National Football Team,La Paz Fc,Club Bolívar,The Strongest",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-16.4994503, -68.12285323599266)"
Nouveau Stade De Bordeaux,42115,Bordeaux,France,Europe,"Fc Girondins De Bordeaux,Union Bordeaux Bègles","Association Football, Rugby Union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(44.841225, -0.5800364)"
Weserstadion,42100,Bremen,Germany,Europe,Werder Bremen,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(53.06644785, 8.83767181513466)"
Great American Ball Park,42059,Cincinnati,United States,North America,Cincinnati Reds,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(39.097248449999995, -84.50662325533993)"
Estádio Do Zimpeto,42055,Maputo,Mozambique,Africa,,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-25.827653650000002, 32.574981115271044)"
The Gabba,42000,Brisbane,Australia,Oceania,"Australia National Cricket Team,Queensland Bulls,Brisbane Heat,Brisbane Lions","Cricket,Australian Rules Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-27.48588505, 153.0379847334293)"
Mchale Park Páirc Mhic Éil,42000,Castlebar,Ireland,Europe,Mayo Gaa,"Gaelic Football,Hurling",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(53.8568418, -9.297967)"
Estadio Universitario,42000,San Nicolás De Los Garza,Mexico,North America,Tigres Uanl,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(25.722606650000003, -100.31198629307636)"
Arena Da Baixada,42000,Curitiba,Brazil,South America,Athletico Paranaense,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-12.1267105, -45.0119184)"
Chengdu Sports Centre,42000,"Chengdu,Sichuan",China,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(30.7001324, 104.0708278)"
Stade Geoffroy-Guichard,42000,Saint-Étienne,France,Europe,As Saint-Étienne,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(45.46075665, 4.390093207379497)"
Royal Bafokeng Stadium,42000,Phokeng,South Africa,Africa,,"Rugby Union, Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-25.57877625, 27.160920449845975)"
Konya Metropolitan Municipality Stadium,42000,Konya,Turkey,Western Asia,Konyaspor,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.946107049999995, 32.48807293970589)"
Estadio Deportivo Cali,42000,Palmira,Colombia,South America,Deportivo Cali,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(3.5216810499999998, -76.41706255864565)"
Estadio Presidente Juan Domingo Perón,41900,Avellaneda,Argentina,South America,Racing Club De Avellaneda,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.66756475, -58.368504739316464)"
Darul Makmur Stadium,41895,Kuantan,Malaysia,Southeast Asia,Pahang Fa,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(3.8153887500000003, 103.32366081145281)"
Nationals Park,41888,"Washington, Dc",United States,North America,Washington Nationals,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(38.87274095, -77.00838588569519)"
Estadio Gigante De Arroyito,41654,Rosario,Argentina,South America,Rosario Central,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-32.91402295, -60.67449898772189)"
Wrigley Field,41649,Chicago,United States,North America,Chicago Cubs,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.94818455, -87.65555899980043)"
Changchun Stadium,41638,"Changchun,Jilin",China,East Asia,Changchun Yatai,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(43.86412405, 125.33665782858643)"
Stadion Gdańsk,41620,Gdańsk,Poland,Europe,Lechia Gdańsk,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(54.38991925, 18.641487035099495)"
Estádio Serra Dourada,41574,Goiânia,Brazil,South America,"Goiás Esporte Clube,Vila Nova Futebol Clube",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-16.69905895, -49.23414752761262)"
Juventus Stadium,41507,Turin,Italy,Europe,Juventus Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(45.10957585, 7.642133800336913)"
Wuyuan River Stadium,41506,Haikou,China,East Asia,,"Athletics, Concerts",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(20.0283946, 110.20749541569685)"
Oracle Park,41503,San Francisco,United States,North America,San Francisco Giants,"Baseball, American Football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.7786119, -122.39026745425639)"
Estadio Morelos,41500,Morelia,Mexico,North America,Monarcas Morelia,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(19.7187172, -101.23359777797029)"
Goyang Stadium,41311,Goyang,South Korea,East Asia,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(37.676484900000005, 126.74315379396498)"
Polideportivo Cachamay,41300,Ciudad Guayana,Venezuela,South America,Mineros De Guayana,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(8.312767449999999, -62.69577875760292)"
Daejeon World Cup Stadium,41295,Daejeon,South Korea,East Asia,Daejeon Hana Citizen,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.36525335, 127.32510742291791)"
Plaza De Toros México,41262,Mexico City,Mexico,North America,,Bullfighting,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(19.03183615, -98.78646319787826)"
Marrakesh Stadium,41245,Marrakesh,Morocco,Africa,"Kawkab Marrakech,Morocco National Football Team",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(31.6258257, -7.9891608)"
Minute Maid Park,41168,"Houston,",United States,North America,Houston Astros,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(29.75723205, -95.35523443643919)"
Truist Park,41084,Atlanta,United States,North America,Atlanta Braves,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.89070855, -84.46853422885837)"
Comerica Park,41083,Detroit,United States,North America,Detroit Tigers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(42.33915895, -83.0496248178274)"
Alejandro Villanueva Stadium,40938,Lima,Peru,South America,Club Alianza Lima,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-12.0685041, -77.0229272261725)"
Suzhou Olympic Sports Centre,40933,Suzhou,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(31.306974099999998, 120.74446475035808)"
Nelson Mandela Stadium,40784,Algiers,Algeria,Africa,,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.69394285, 3.1220307427342995)"
Şenol Güneş Sports Complex,40782,Trabzon,Turkey,Western Asia,Trabzonspor,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.9098506, 39.77715282189265)"
Kashima Soccer Stadium,40728,Kashima,Japan,East Asia,Kashima Antlers,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.9922557, 140.6362934)"
